GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   (mu + 1)-EA

DATE:   2015-12-3 (year-month-day)
TIME:   9:44:3 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION MU SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 12 10 5 5172300
100 12 10 5 14188560
100 12 10 5 1532400
100 12 10 5 2370900
100 12 10 5 3489000
100 12 10 5 8916240
100 12 10 5 10241580
100 12 10 5 657300
100 12 10 5 10284780
100 12 10 5 5145120
100 12 10 5 2670660
100 12 10 5 1006380
100 12 10 5 3650340
100 12 10 5 820860
100 12 10 5 2357880
100 12 10 5 742680
100 12 10 5 1198740
100 12 10 5 657360
100 12 10 5 3184620
100 12 10 5 3885360
100 12 10 5 1404300
100 12 10 5 9115260
100 12 10 5 4645560
100 12 10 5 1220160
100 12 10 5 3851400
100 12 10 5 6826200
100 12 10 5 2107740
100 12 10 5 3295860
100 12 10 5 646020
100 12 10 5 7983720
100 12 10 5 5390460
100 12 10 5 8535360
100 12 10 5 682320
100 12 10 5 8376600
100 12 10 5 5696940
100 12 10 5 8505720
100 12 10 5 2199960
100 12 10 5 8625420
100 12 10 5 3780480
100 12 10 5 2341800
100 12 10 5 3758700
100 12 10 5 9305400
100 12 10 5 9422100
100 12 10 5 3787980
100 12 10 5 6056040
100 12 10 5 2866020
100 12 10 5 15415200
100 12 10 5 841200
100 12 10 5 8419740
100 12 10 5 3197400
100 12 10 5 809880
100 12 10 5 10116300
100 12 10 5 2115960
100 12 10 5 1937340
100 12 10 5 9862080
100 12 10 5 1467840
100 12 10 5 368460
100 12 10 5 8920620
100 12 10 5 625620
100 12 10 5 996480
100 12 10 5 7441860
100 12 10 5 8579340
100 12 10 6 664128
100 12 10 6 2114352
100 12 10 6 1657656
100 12 10 6 971208
100 12 10 6 3986784
100 12 10 6 2813904
100 12 10 6 1613448
100 12 10 6 733320
100 12 10 6 1464192
100 12 10 6 3477528
100 12 10 6 5445648
100 12 10 6 1872576
100 12 10 6 5453640
100 12 10 6 1095624
100 12 10 6 2106792
100 12 10 6 1067688
100 12 10 6 2073600
100 12 10 6 966312
100 12 10 6 1420200
100 12 10 6 2698920
100 12 10 6 1181736
100 12 10 6 1805688
100 12 10 6 1996560
