GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   (mu + 1)-GA

DATE:   2015-11-27 (year-month-day)
TIME:   15:41:8 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION MU SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 10 10 5 235400
100 10 10 5 470450
100 10 10 5 215850
100 10 10 5 296000
100 10 10 5 207450
100 10 10 5 434200
100 10 10 5 392400
100 10 10 5 183450
100 10 10 5 303550
100 10 10 5 546000
100 10 10 5 275200
100 10 10 5 186250
100 10 10 5 131150
100 10 10 5 276400
100 10 10 5 396000
100 10 10 5 603550
100 10 10 5 218850
100 10 10 5 247550
100 10 10 5 511400
100 10 10 5 395800
100 10 10 5 143900
100 10 10 5 253500
100 10 10 5 533050
100 10 10 5 312100
100 10 10 5 320950
100 10 10 5 118300
100 10 10 5 511750
100 10 10 5 772950
100 10 10 5 169200
100 10 10 5 334050
100 10 10 5 191650
100 10 10 5 243050
100 10 10 5 411500
100 10 10 5 270700
100 10 10 5 740650
100 10 10 5 359500
100 10 10 5 656950
100 10 10 5 259750
100 10 10 5 761700
100 10 10 5 153750
100 10 10 5 854050
100 10 10 5 978950
100 10 10 5 191850
100 10 10 5 287200
100 10 10 5 1144000
100 10 10 5 375650
100 10 10 5 467300
100 10 10 5 348950
100 10 10 6 143460
100 10 10 6 592260
100 10 10 6 650100
100 10 10 6 177900
100 10 10 6 255420
100 10 10 6 361740
100 10 10 6 254820
100 10 10 6 212940
100 10 10 6 363360
100 10 10 6 181260
100 10 10 6 380760
100 10 10 6 252300
100 10 10 6 322560
100 10 10 6 187920
100 10 10 6 558240
100 10 10 6 704880
100 10 10 6 136500
100 10 10 6 173940
100 10 10 6 187620
100 10 10 6 192900
100 10 10 6 218820
100 10 10 6 137760
100 10 10 6 215520
100 10 10 6 401280
100 10 10 6 258840
100 10 10 6 159420
100 10 10 6 362160
100 10 10 6 276780
100 10 10 6 145320
100 10 10 6 417660
100 10 10 6 198060
100 10 10 6 439440
100 10 10 6 155820
100 10 10 6 425580
100 10 10 6 412620
100 10 10 6 493620
100 10 10 6 182160
100 10 10 6 357840
100 10 10 6 321300
100 10 10 6 253140
100 10 10 6 534720
100 10 10 6 164520
100 10 10 6 185400
100 10 10 6 234360
100 10 10 6 225240
100 10 10 6 489240
100 10 10 6 241260
100 10 10 6 392340
100 10 10 6 388320
100 10 10 6 203040
100 10 10 6 279660
100 10 10 6 140460
100 10 10 6 724500
100 10 10 6 184080
100 10 10 6 272040
100 10 10 6 317520
100 10 10 6 150420
100 10 10 6 470760
100 10 10 6 226440
100 10 10 6 266520
100 10 10 6 236400
100 10 10 6 161460
100 10 10 6 257100
100 10 10 6 303720
100 10 10 6 261180
100 10 10 6 369480
100 10 10 6 285900
100 10 10 6 335220
100 10 10 6 271740
100 10 10 6 164580
100 10 10 6 160560
100 10 10 6 159120
100 10 10 6 202560
100 10 10 6 263640
100 10 10 6 200100
100 10 10 6 333480
100 10 10 6 167280
100 10 10 6 312540
100 10 10 6 323580
100 10 10 6 538800
100 10 10 6 163500
100 10 10 6 287460
100 10 10 6 445200
100 10 10 6 478440
100 10 10 6 242100
100 10 10 6 239880
100 10 10 6 172200
100 10 10 6 239760
100 10 10 6 255180
100 10 10 6 154680
100 10 10 6 181980
100 10 10 6 231960
100 10 10 6 261360
100 10 10 6 291600
100 10 10 6 664080
100 10 10 6 682380
100 10 10 6 160980
100 10 10 6 248160
100 10 10 6 240420
100 10 10 6 232140
100 10 10 7 238560
100 10 10 7 378910
100 10 10 7 246680
100 10 10 7 292110
100 10 10 7 363720
100 10 10 7 152250
100 10 10 7 325150
100 10 10 7 285530
100 10 10 7 176050
100 10 10 7 374430
100 10 10 7 143570
100 10 10 7 280700
100 10 10 7 330330
100 10 10 7 258020
100 10 10 7 196140
100 10 10 7 344960
100 10 10 7 187110
100 10 10 7 201180
100 10 10 7 314580
100 10 10 7 461860
100 10 10 7 348950
100 10 10 7 346570
100 10 10 7 445410
100 10 10 7 293510
100 10 10 7 450520
100 10 10 7 370160
100 10 10 7 236180
100 10 10 7 241710
100 10 10 7 234640
100 10 10 7 636580
100 10 10 7 118930
100 10 10 7 258370
100 10 10 7 240450
100 10 10 7 209300
100 10 10 7 236600
100 10 10 7 359940
100 10 10 7 335650
100 10 10 7 141750
100 10 10 7 238420
100 10 10 7 279510
100 10 10 7 151620
100 10 10 7 430920
100 10 10 7 267680
100 10 10 7 417830
100 10 10 7 236180
100 10 10 7 257040
100 10 10 7 220850
100 10 10 7 343000
100 10 10 7 180740
100 10 10 7 312620
100 10 10 7 225470
100 10 10 7 202510
100 10 10 7 235270
100 10 10 7 302680
100 10 10 7 196560
100 10 10 7 725270
100 10 10 7 192990
100 10 10 7 450240
100 10 10 7 348180
100 10 10 7 562380
100 10 10 7 260190
100 10 10 7 385490
100 10 10 7 389340
100 10 10 7 350910
100 10 10 7 187040
100 10 10 7 247520
100 10 10 7 336210
100 10 10 7 202230
100 10 10 7 336770
100 10 10 7 273070
100 10 10 7 181930
100 10 10 7 208670
100 10 10 7 275660
100 10 10 7 227780
