GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   MMASib

DATE:   2015-12-4 (year-month-day)
TIME:   16:6:29 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION N_ANTS EVAPORATION SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 5 0.045 10 2 23600
100 5 0.045 10 2 6270
100 5 0.045 10 2 19480
100 5 0.045 10 2 6730
100 5 0.045 10 2 21430
100 5 0.045 10 2 9400
100 5 0.045 10 2 13600
100 5 0.045 10 2 13880
100 5 0.045 10 2 17120
100 5 0.045 10 2 20500
100 5 0.045 10 2 15250
100 5 0.045 10 3 15345
100 5 0.045 10 3 15555
100 5 0.045 10 3 12600
100 5 0.045 10 3 13065
100 5 0.045 10 3 12180
100 5 0.045 10 3 12330
100 5 0.045 10 3 15795
100 5 0.045 10 3 12690
100 5 0.045 10 3 21780
100 5 0.045 10 3 17745
100 5 0.045 10 3 25785
100 5 0.045 10 3 9660
100 5 0.045 10 3 6240
100 5 0.045 10 3 19110
100 5 0.045 10 3 8640
100 5 0.045 10 3 8355
100 5 0.045 10 3 9075
100 5 0.045 10 3 19905
100 5 0.045 10 3 11070
100 5 0.045 10 3 9810
100 5 0.045 10 3 11550
100 5 0.045 10 3 26670
100 5 0.045 10 3 11535
100 5 0.045 10 3 11880
100 5 0.045 10 3 9075
100 5 0.045 10 3 17835
100 5 0.045 10 3 15765
100 5 0.045 10 3 15660
100 5 0.045 10 3 15510
100 5 0.045 10 3 9375
100 5 0.045 10 3 13155
100 5 0.045 10 3 22545
100 5 0.045 10 3 15165
100 5 0.045 10 3 14550
100 5 0.045 10 3 11730
100 5 0.045 10 3 13815
100 5 0.045 10 3 12375
100 5 0.045 10 3 37290
100 5 0.045 10 3 18945
100 5 0.045 10 3 12240
100 5 0.045 10 3 12120
100 5 0.045 10 3 11640
100 5 0.045 10 3 24075
100 5 0.045 10 3 12810
100 5 0.045 10 3 11280
100 5 0.045 10 3 23715
100 5 0.045 10 3 34080
100 5 0.045 10 3 12735
100 5 0.045 10 3 22065
100 5 0.045 10 3 26625
100 5 0.045 10 3 21000
100 5 0.045 10 3 12090
100 5 0.045 10 3 12060
100 5 0.045 10 3 24135
100 5 0.045 10 3 13620
100 5 0.045 10 3 16980
100 5 0.045 10 3 15030
100 5 0.045 10 3 19635
100 5 0.045 10 3 18030
100 5 0.045 10 3 24495
100 5 0.045 10 3 19245
100 5 0.045 10 3 13590
100 5 0.045 10 3 13005
100 5 0.045 10 3 9510
100 5 0.045 10 3 9030
100 5 0.045 10 3 11295
100 5 0.045 10 3 25875
100 5 0.045 10 3 16290
100 5 0.045 10 3 11445
100 5 0.045 10 3 16455
100 5 0.045 10 3 15690
100 5 0.045 10 3 11175
100 5 0.045 10 3 15570
100 5 0.045 10 3 14325
100 5 0.045 10 3 13020
100 5 0.045 10 3 9465
100 5 0.045 10 3 9240
100 5 0.045 10 3 11925
100 5 0.045 10 3 15795
100 5 0.045 10 3 13785
100 5 0.045 10 3 30075
100 5 0.045 10 3 12465
100 5 0.045 10 3 14355
100 5 0.045 10 3 27870
100 5 0.045 10 3 10830
100 5 0.045 10 3 10050
100 5 0.045 10 3 11565
100 5 0.045 10 3 9735
100 5 0.045 10 3 24015
100 5 0.045 10 3 9975
100 5 0.045 10 3 18330
100 5 0.045 10 3 9765
100 5 0.045 10 3 11790
100 5 0.045 10 3 18435
100 5 0.045 10 3 44370
100 5 0.045 10 3 12270
100 5 0.045 10 3 17670
100 5 0.045 10 3 13455
100 5 0.045 10 3 19050
100 5 0.045 10 3 7845
100 5 0.045 10 4 12380
100 5 0.045 10 4 9260
100 5 0.045 10 4 17960
100 5 0.045 10 4 13180
100 5 0.045 10 4 27720
100 5 0.045 10 4 9740
100 5 0.045 10 4 13200
100 5 0.045 10 4 20720
100 5 0.045 10 4 12360
100 5 0.045 10 4 14820
100 5 0.045 10 4 11520
100 5 0.045 10 4 15580
100 5 0.045 10 4 10680
100 5 0.045 10 4 10880
100 5 0.045 10 4 12720
100 5 0.045 10 4 15760
100 5 0.045 10 4 16680
100 5 0.045 10 4 9320
100 5 0.045 10 4 23000
100 5 0.045 10 4 20340
100 5 0.045 10 4 12320
100 5 0.045 10 4 41540
100 5 0.045 10 4 15580
100 5 0.045 10 4 18980
100 5 0.045 10 4 20540
100 5 0.045 10 4 21120
100 5 0.045 10 4 10900
100 5 0.045 10 4 19120
100 5 0.045 10 4 15520
100 5 0.045 10 4 28740
100 5 0.045 10 4 11240
100 5 0.045 10 4 25580
100 5 0.045 10 4 26060
100 5 0.045 10 4 18600
100 5 0.045 10 4 20240
100 5 0.045 10 4 15480
100 5 0.045 10 4 8020
100 5 0.045 10 4 14000
100 5 0.045 10 4 11180
100 5 0.045 10 4 21040
100 5 0.045 10 4 12180
100 5 0.045 10 4 10340
100 5 0.045 10 4 11900
100 5 0.045 10 4 20240
100 5 0.045 10 4 22340
100 5 0.045 10 4 16620
100 5 0.045 10 4 14480
100 5 0.045 10 4 11720
100 5 0.045 10 4 10180
100 5 0.045 10 4 10480
100 5 0.045 10 4 10620
100 5 0.045 10 4 17000
100 5 0.045 10 4 16280
100 5 0.045 10 4 16120
100 5 0.045 10 4 25720
100 5 0.045 10 4 14920
100 5 0.045 10 4 13200
100 5 0.045 10 4 16660
100 5 0.045 10 4 13500
100 5 0.045 10 4 10620
100 5 0.045 10 4 23840
100 5 0.045 10 4 9040
100 5 0.045 10 4 19560
100 5 0.045 10 4 12340
100 5 0.045 10 4 11980
100 5 0.045 10 4 13220
100 5 0.045 10 4 18240
100 5 0.045 10 4 12960
100 5 0.045 10 4 17620
100 5 0.045 10 4 15040
100 5 0.045 10 4 10640
100 5 0.045 10 4 28900
100 5 0.045 10 4 19740
100 5 0.045 10 4 12740
100 5 0.045 10 4 20620
100 5 0.045 10 4 10380
100 5 0.045 10 4 30800
100 5 0.045 10 4 13800
100 5 0.045 10 4 12540
100 5 0.045 10 4 11320
100 5 0.045 10 4 11240
100 5 0.045 10 4 11660
100 5 0.045 10 4 11540
100 5 0.045 10 4 23220
100 5 0.045 10 4 8860
100 5 0.045 10 4 11700
100 5 0.045 10 4 24700
100 5 0.045 10 4 10900
100 5 0.045 10 4 15120
100 5 0.045 10 4 11960
100 5 0.045 10 4 38120
100 5 0.045 10 4 22380
100 5 0.045 10 4 17280
100 5 0.045 10 4 19600
100 5 0.045 10 4 11220
100 5 0.045 10 4 20540
100 5 0.045 10 4 25920
100 5 0.045 10 4 27440
100 5 0.045 10 4 14980
100 5 0.045 10 4 10900
100 5 0.045 10 5 18125
100 5 0.045 10 5 26600
100 5 0.045 10 5 13200
100 5 0.045 10 5 15250
100 5 0.045 10 5 16350
100 5 0.045 10 5 14375
100 5 0.045 10 5 13250
100 5 0.045 10 5 27700
100 5 0.045 10 5 18000
100 5 0.045 10 5 22900
100 5 0.045 10 5 13325
100 5 0.045 10 5 18900
100 5 0.045 10 5 14025
100 5 0.045 10 5 11950
100 5 0.045 10 5 17625
100 5 0.045 10 5 15900
100 5 0.045 10 5 17500
100 5 0.045 10 5 13225
100 5 0.045 10 5 32175
100 5 0.045 10 5 11925
100 5 0.045 10 5 15300
100 5 0.045 10 5 9550
100 5 0.045 10 5 20175
100 5 0.045 10 5 15975
100 5 0.045 10 5 18150
100 5 0.045 10 5 12975
100 5 0.045 10 5 16025
100 5 0.045 10 5 16975
100 5 0.045 10 5 26175
100 5 0.045 10 5 23925
