GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   MMASib

DATE:   2016-8-24 (year-month-day)
TIME:   9:4:4 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION SIGMA N_RE_EVALUATIONS OPTIMAL_RHO OPTIMAL_N_ANTS N_FITNESS_EVALUATIONS
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 12
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 12
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 12
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 12
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 12
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 6
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 18
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
2 3.1622776601683795 1 0.035999999999999997 6 0
